Method,SNR,PESQ,STOI,Runtime
Method 3,-1.914664805,1.925483704,0.667271436,1.61
Method 3,-2.663063407,1.968487501,0.741972009,1.33
Method 3,-9.334215224,2.023422956,0.709708184,2.07
Method 3,-0.178490877,1.437961459,0.56802045,1.31
Method 3,-5.38520515,2.185615301,0.789243913,1.4
Method 3,2.310709703,1.542773008,0.62642166,2.17
Method 3,-8.189279437,2.425834894,0.787596841,1.32
Method 3,0.30747667,1.326452971,0.570360378,1.71
Method 3,-4.972716868,1.919994831,0.676777004,2.38
Method 3,0.348188877,2.103726864,0.824419837,1.4
Method 3,-5.372328162,2.530720711,0.829558527,2.68
Method 3,-5.931799412,2.307240725,0.800453178,1.5
Method 3,-0.554068983,1.726445794,0.700447576,1.45
Method 3,1.975277066,2.270035505,0.773781945,2.37
Method 3,-2.133557796,1.602894664,0.59348497,1.36
Method 3,-11.43325418,2.137891054,0.722838115,1.39
Method 3,-6.465472579,1.977120042,0.66273395,1.33
Method 3,5.15445428,1.399818063,0.622251613,1.44
Method 3,-0.631971061,1.949794769,0.607727357,1.28
Method 3,0.251092315,2.081625462,0.76165857,2.63
Method 3,-5.097356439,2.180960178,0.760420793,1.86
Method 3,-1.074828804,1.792468786,0.708468119,2.62
Method 3,-0.794894099,1.954563856,0.686940324,1.62
Method 3,1.134834439,1.817930698,0.678016444,2.63
Method 3,1.823998988,1.877182364,0.726777077,2.12
Method 3,-9.739320278,2.360136032,0.755616578,1.52
Method 3,2.144923296,1.124908924,0.552492361,2.16
Method 3,-5.291098356,2.171885967,0.744754106,1.67
Method 3,1.864002606,1.605070233,0.553767228,1.73
Method 3,-7.650042772,2.376264334,0.742672723,2.37
Method 3,4.795854233,1.992507696,0.685867392,1.51
Method 3,-7.27725327,2.067651987,0.723572009,1.45
Method 3,-3.012495041,1.814881802,0.670296692,2.48
Method 3,-8.778616786,2.173887253,0.800983404,1.24
Method 3,-7.101979852,2.324811459,0.815983898,1.33
Method 3,2.350712698,1.431577444,0.56235502,2.14
Method 3,-3.459715247,1.976722002,0.669101011,1.59
Method 3,-3.501597047,2.334962845,0.851876526,1.63
Method 3,-0.86782217,1.956515551,0.70368046,1.57
Method 3,4.2060176,1.914250016,0.73271903,1.48
Method 3,0.837053657,1.92950356,0.815313674,2.54
Method 3,-7.335681319,2.183523655,0.734721347,1.71
Method 3,-0.996365249,1.86494863,0.732286794,2.44
Method 3,-1.438775659,2.242364407,0.788438357,1.61
Method 3,-1.476781964,1.495081544,0.649424293,1.22
Method 3,1.580615491,1.838009357,0.694974015,1.4
Method 3,-10.70538998,1.936583757,0.684034728,1.76
Method 3,-4.775806367,1.958471417,0.667371436,1.38
Method 3,-5.084261894,1.948071122,0.701732519,1.52
Method 3,-3.789752126,2.034602642,0.760416696,1.4
Method 3,-4.049376845,1.764505744,0.713790614,1.36
Method 3,-4.571226835,2.0970366,0.797737526,1.62
Method 3,-8.975434303,1.990459919,0.727001134,1.79
Method 3,-5.998797119,2.333916664,0.776161744,1.38
Method 3,-5.664348006,2.421910048,0.860360198,2.68
Method 3,0.690758228,1.688879371,0.67425678,2.36
Method 3,-11.21301174,2.131866693,0.736344812,2.25
Method 3,-3.029494882,2.069378853,0.724990787,1.48
Method 3,0.960786343,1.725002885,0.689612889,1.7
Method 3,-3.210804462,2.526781797,0.878961024,1.73
Method 3,-1.256896555,1.772004724,0.683752306,1.29
Method 3,1.813083962,1.597934723,0.660459714,1.52
Method 3,-3.436424434,2.050261974,0.718305309,2.79
Method 3,-9.296583533,2.194935799,0.786026513,1.24
Method 3,-2.463847399,1.726762772,0.603477522,1.29
Method 3,-6.522608101,1.864010811,0.629435773,1.45
Method 3,3.806942999,1.755105853,0.715434941,2.45
Method 3,-2.867656052,1.919691324,0.661140099,1.61
Method 3,-5.348634124,2.687527418,0.865055056,1.51
Method 3,-7.645428479,2.336467505,0.745166123,1.36
Method 3,-0.308915675,1.890704036,0.732614488,1.51
Method 3,-0.997146666,1.748290658,0.630189295,2.75
Method 3,-4.916547537,2.656326532,0.897827574,2.72
Method 3,-2.278881669,2.1498034,0.797278303,1.59
Method 3,-10.11412621,1.903907299,0.654019706,1.68
Method 3,-3.69207859,2.331038237,0.792559563,2.63
Method 3,-0.939003229,2.010110855,0.74977046,1.67
Method 3,-4.257904589,1.75207305,0.611642935,2.31
Method 3,-3.956000209,2.218643188,0.760208229,2.31
Method 3,-3.056539297,2.245899916,0.771194081,1.47
Method 3,3.412455916,2.131886721,0.731201267,1.49
Method 3,0.365335643,1.594223142,0.636660236,1.25
Method 3,2.41684276,1.162728667,0.539518101,2.73
Method 3,-1.318435669,2.536286116,0.83949001,1.36
Method 3,-10.60678095,2.461329222,0.793092869,2.18
Method 3,-3.562425375,2.427585602,0.875624144,1.68
Method 3,0.205468833,1.410161734,0.602558227,1.21
Method 3,-3.008803129,1.930322886,0.724059558,2.18
Method 3,3.286510557,1.875409961,0.77553952,1.6
Method 3,1.397781481,1.623528123,0.549583107,1.69
Method 3,-2.331285477,2.115823984,0.703853092,1.4
Method 3,3.645937145,1.54298234,0.654061,1.47
Method 3,-3.685159385,1.657576561,0.578747882,1.58
Method 3,-1.030761898,1.783187985,0.588541821,2.18
Method 3,0.587034822,1.91595006,0.717459569,2.04
Method 3,-1.196038723,2.09280014,0.74673775,2.45
Method 3,1.840079889,1.211758494,0.554869416,2.38
Method 3,-2.66032517,1.986066699,0.767216292,1.59
Method 3,-4.994642735,2.407917261,0.793202058,1.56
Method 3,-9.670216441,2.309602261,0.769385576,1.54
Method 3,-1.35583207,1.554976583,0.525879164,2.49
Method 3,-7.946058214,2.082068443,0.766669899,1.28
Method 3,-2.179008126,2.124889374,0.744011448,2.76
Method 3,-0.209041536,1.521027446,0.595133109,2.55
Method 3,-7.438731194,2.303716421,0.761485324,2.71
Method 3,-2.038432658,1.685151339,0.682353765,1.31
Method 3,-7.189541757,1.941234708,0.695671974,1.5
Method 3,-4.152417183,2.111163378,0.673928868,1.38
Method 3,1.62232697,1.307136893,0.541184076,2.19
Method 3,0.367438793,2.397775412,0.80988137,1.34
Method 3,-6.489237547,2.681731462,0.836547541,2.8
Method 3,-7.681219578,2.594155788,0.811025095,1.66
Method 3,-0.161935985,2.049492598,0.743721219,1.76
Method 3,-7.028605938,2.093228102,0.722413814,1.4
Method 3,0.021025349,1.554871798,0.624918717,1.37
Method 3,-2.370924354,2.258953333,0.77125163,1.77
Method 3,-2.929663658,1.921821833,0.68217216,1.31
Method 3,-9.159194529,2.152034044,0.730471538,1.3
Method 3,-4.506936073,2.351280451,0.838908847,2.7
Method 3,-0.487592816,2.436595201,0.792371091,2.17
Method 3,-2.474880219,2.147637129,0.707233785,1.23
Method 3,-11.35187447,2.224275589,0.736681276,1.26
Method 3,-0.749268234,1.963891506,0.666880812,1.31
Method 3,2.834757016,1.603158593,0.573061241,1.24
Method 3,-6.552423239,2.507774353,0.860954461,2.14
Method 3,2.112781107,2.54120326,0.818359721,1.59
Method 3,2.404153347,2.198504448,0.790342464,2.78
Method 3,-4.39637959,2.58624649,0.822203491,1.69
Method 3,-3.367647529,2.62795639,0.853427473,2.7
Method 3,-8.809819818,2.486050129,0.808704953,1.69
Method 3,-5.782476068,2.48781538,0.798090823,1.88
Method 3,-8.651410937,2.771460295,0.846537715,1.8
Method 3,-7.21784234,2.386578321,0.779205026,1.57
Method 3,-7.820052505,2.839605331,0.838651096,2.29
Method 3,0.971871018,1.787866473,0.621022961,1.32
Method 3,0.462962519,1.914873719,0.725785523,2.79
Method 3,2.760886773,2.469035864,0.806022038,2.5
Method 3,-3.948224783,2.397935629,0.785797209,1.87
Method 3,-1.567867994,2.558315039,0.842967251,2.7
Method 3,1.199621707,2.366340876,0.776081483,1.69
Method 3,0.390577614,1.835215569,0.731089678,1.63
Method 3,0.734475851,2.588402748,0.824831352,1.6
Method 3,2.615485881,2.133096695,0.757475842,1.94
Method 3,-0.016496181,2.459838152,0.829297653,1.71
Method 3,-2.668396235,2.208357573,0.810303762,1.57
Method 3,-1.085868478,2.691228628,0.829036,1.64
Method 3,-2.371602654,2.512886286,0.807725387,2.78
Method 3,3.396991472,2.070716143,0.766649683,1.55
Method 3,-5.331838727,2.67674017,0.862214002,1.56
Method 3,-1.124865115,2.162672758,0.75752507,1.74
Method 3,2.721790304,1.654882431,0.625936063,1.57
Method 3,-5.687333345,2.265774012,0.744434234,1.56
Method 3,1.725229323,1.740810513,0.685136373,1.71
Method 3,1.287129521,2.34461832,0.812027052,1.55
Method 3,-1.244216114,1.692213535,0.655304097,2.27
Method 3,-5.478971004,2.817242384,0.836089606,1.47
Method 3,-4.238855243,2.293791056,0.747301625,1.34
Method 3,-7.542893291,2.563780069,0.809802886,2.09
Method 3,-4.898584783,2.023122549,0.705911554,1.77
Method 3,-1.047803164,2.083781481,0.774502521,2.54
Method 3,-5.811315775,2.444485664,0.785089043,1.59
Method 3,-3.217485547,2.768490076,0.832119448,1.6
Method 4,0,1.786760807,0.676805868,1.43
Method 4,0,2.219014883,0.774040456,3.29
Method 4,0,2.424053907,0.748660614,1.53
Method 4,0,2.493233919,0.771924972,2.4
Method 4,0,1.708729506,0.649558341,1.48
Method 4,0,1.481594801,0.632013924,1.5
Method 4,0,1.706279039,0.741697539,2.79
Method 4,0,1.929767132,0.700347503,1.5
Method 4,0,2.083666325,0.719039303,1.52
Method 4,0,2.217371941,0.739011059,1.51
Method 4,0,1.734149337,0.67809051,2.16
Method 4,0,2.453656435,0.810223074,2.44
Method 4,0,1.986414075,0.692446682,1.5
Method 4,0,2.23940134,0.734721207,1.44
Method 4,0,2.624569893,0.786709725,1.46
Method 4,0,2.066026926,0.743802216,2.73
Method 4,0,2.702522039,0.904358042,2.98
Method 4,0,2.106464386,0.851580942,1.75
Method 4,0,2.661019325,0.904259222,1.65
Method 4,0,2.151436806,0.813639192,1.51
Method 4,0,1.773083329,0.790014372,1.6
Method 4,0,1.595781922,0.62843119,1.84
Method 4,0,2.824386835,0.917534356,1.71
Method 4,0,2.307432175,0.874818067,2.58
Method 4,0,2.565341711,0.758503338,1.46
Method 4,0,1.692485929,0.587594042,2.25
Method 4,0,2.442204952,0.868156945,2.44
Method 4,0,2.601622581,0.828269593,1.81
Method 4,0,1.567862034,0.755481267,2.37
Method 4,0,2.907604218,0.925586378,2.37
Method 4,0,2.351519108,0.750969142,1.42
Method 4,0,1.909564972,0.701022557,2.04
Method 4,0,2.08091259,0.72493216,2.48
Method 4,0,2.134806633,0.738677303,1.55
Method 4,0,2.559945583,0.887988841,1.6
Method 4,0,2.32933712,0.791702196,1.83
Method 4,0,1.554201126,0.613760872,1.55
Method 4,0,1.911507368,0.819283376,1.54
Method 4,0,2.341301918,0.760121275,2.59
Method 4,0,1.634525537,0.649579012,1.51
Method 4,0,1.881119847,0.693533487,2.04
Method 4,0,1.816653728,0.639984661,1.97
Method 4,0,2.496358395,0.891933961,1.61
Method 4,0,2.298924446,0.846141101,1.55
Method 4,0,2.612361908,0.824544749,1.58
Method 4,0,2.544107914,0.862289984,1.76
Method 4,0,2.264959574,0.882879331,1.8
Method 4,0,2.440177441,0.815139477,2.69
Method 4,0,2.703739643,0.902512924,2
Method 4,0,1.737365723,0.625691743,1.74
Method 4,0,2.469705582,0.732611828,2.34
Method 4,0,1.825470209,0.5726019,1.45
Method 4,0,2.056443214,0.714336269,1.63
Method 4,0,2.273931265,0.760489488,2.44
Method 4,0,1.921196103,0.74695569,1.54
Method 4,0,1.610973716,0.662873936,1.52
Method 4,0,2.78943944,0.891337631,1.73
Method 4,0,2.166019201,0.736244285,3.13
Method 4,0,2.3175385,0.76880087,1.68
Method 4,0,1.765535355,0.630078219,1.84
Method 4,0,1.607153654,0.684798352,1.8
Method 4,0,2.529631615,0.806598071,1.47
Method 4,0,2.702185392,0.856817564,2.12
Method 4,0,2.433213234,0.751951104,1.51
Method 4,0,2.114751816,0.717040977,1.77
Method 4,0,2.377240658,0.754029939,2.87
Method 4,0,2.038964033,0.766691514,1.42
Method 4,0,1.570025563,0.602624405,1.46
Method 4,0,3.036427498,0.911675744,2.43
Method 4,0,2.463437557,0.716450297,1.82
Method 4,0,1.901819706,0.730799662,1.82
Method 4,0,2.291699171,0.76057827,1.53
Method 4,0,2.437496424,0.786682269,2.6
Method 4,0,2.226999283,0.784460677,1.53
Method 4,0,1.775342345,0.664664224,1.84
Method 4,0,1.779829264,0.731134052,2.65
Method 4,0,2.418909073,0.863941967,5.21
Method 4,0,2.535711765,0.826844155,1.69
Method 4,0,2.669304132,0.823515322,1.55
Method 4,0,2.350270987,0.791946835,1.51
Method 4,0,2.003009319,0.718937565,1.76
Method 4,0,2.44591713,0.876694326,1.78
Method 4,0,2.093511343,0.78528969,1.95
Method 4,0,2.331781387,0.717070315,1.4
Method 4,0,1.633013487,0.604777571,1.69
Method 4,0,1.814513445,0.70877011,1.53
Method 4,0,2.366920948,0.706220594,1.8
Method 4,0,2.444285154,0.747574813,1.65
Method 4,0,1.653345823,0.573943404,2.8
Method 4,0,2.018645763,0.683909842,1.4
Method 4,0,2.929840565,0.908254733,2.85
Method 4,0,2.526450872,0.890844152,1.73
Method 4,0,2.582159519,0.71644439,1.57
Method 4,0,2.880694628,0.892796707,1.6
Method 4,0,1.759156585,0.795896135,1.86
Method 4,0,2.506520987,0.847201625,3.18
Method 4,0,2.153876781,0.819444378,1.67
Method 4,0,1.82537055,0.760342087,1.7
Method 4,0,2.607692242,0.752936824,1.7
Method 4,0,1.65526855,0.721160105,1.61
Method 4,0,2.299422264,0.822704229,2.63
Method 4,0,2.435031652,0.827263312,1.82
Method 4,0,2.023794174,0.640618598,2.31
Method 4,0,1.909306288,0.688263907,1.79
Method 4,0,1.677328825,0.656517677,2.46
Method 4,0,2.42808032,0.777538233,1.45
Method 4,0,2.130007982,0.863429876,1.7
Method 4,0,2.337244272,0.791143697,2.48
Method 4,0,2.086983681,0.815833696,2.18
Method 4,0,2.611691713,0.861676242,2.03
Method 4,0,2.241363287,0.842325595,2.04
Method 4,0,2.507907629,0.894740038,2.87
Method 4,0,2.303196907,0.806528751,1.56
Method 4,0,2.468292236,0.844715936,2.74
Method 4,0,2.671002865,0.881077647,1.58
Method 4,0,1.841264009,0.686246226,1.82
Method 4,0,1.891546249,0.694514289,2
Method 4,0,2.118952036,0.775925281,2.14
Method 4,0,2.520641088,0.798675673,1.63
Method 4,0,1.944951892,0.777851805,1.5
Method 4,0,2.543974638,0.835583652,1.88
Method 4,0,2.132793188,0.729186612,1.73
Method 4,0,2.171072245,0.689191803,1.65
Method 4,0,2.049336433,0.694809573,1.8
Method 4,0,2.642505884,0.86732702,1.72
Method 4,0,2.796999454,0.856577776,1.72
Method 4,0,2.173238754,0.779227174,2.85
Method 4,0,2.111684561,0.725285394,1.76
Method 4,0,2.58161521,0.858898405,1.8
Method 4,0,2.679495096,0.840966096,2.04
Method 4,0,1.686826825,0.510610275,1.88
Method 4,0,2.382356882,0.735651647,2.63
Method 4,0,2.65850234,0.808223902,2.61
Method 4,0,1.616249681,0.758577986,2.32
Method 4,0,2.241472483,0.845679658,1.75
Method 4,0,1.70565486,0.718997788,2.18
Method 4,0,1.952739239,0.784665934,2.11
Method 4,0,2.723349094,0.868682674,1.87
Method 4,0,1.578782797,0.513214123,1.77
Method 4,0,1.765960574,0.663501,1.77
Method 4,0,1.756629825,0.611291459,2.18
Method 4,0,2.263463259,0.705926309,1.89
Method 4,0,2.052391291,0.626021226,1.81
Method 4,0,2.359358072,0.804479798,1.68
Method 4,0,1.96826911,0.791672349,2.48
Method 4,0,2.330676794,0.827101846,1.87
Method 4,0,2.10158205,0.751586265,3
Method 4,0,2.262795925,0.835061102,1.64
Method 4,0,2.886376381,0.836174473,1.6
Method 4,0,1.642034292,0.641263105,1.75
Method 4,0,2.560465097,0.846414642,1.59
Method 4,0,1.76376915,0.709326829,1.61
Method 4,0,2.989942789,0.830302894,2.37
Method 4,0,1.587393284,0.616594347,2.07
Method 4,0,2.588781595,0.775750765,1.65
Method 4,0,2.123882294,0.821225878,2.41
Method 4,0,2.447437525,0.820754287,3.4
Method 4,0,2.593767405,0.889552269,1.91
Method 4,0,2.17436862,0.783822868,2.69
Method 4,0,2.51894474,0.832900667,1.71
Method 4,0,1.853527665,0.66990217,1.69
Method 4,0,3.03688693,0.859450765,2.63
Method 4,0,2.170175314,0.699793247,1.54
Method 4,0,1.429123878,0.619299105,1.75
Method 4,0,2.354034185,0.721096436,1.63
Method 4,0,2.000494003,0.772201746,2.02
Method 4,0,2.319488287,0.816025386,3.44
Method 4,0,2.065398216,0.805165449,2.81
Method 4,0,1.950619578,0.672291394,1.96
Method 4,0,2.266733885,0.818533198,2.98
Method 4,0,1.765996099,0.719027764,1.77
Method 4,0,2.614411354,0.803712807,1.59
Method 4,0,1.490602612,0.649257178,1.57
Method 4,0,2.699306726,0.869645858,1.8
Method 4,0,1.576295853,0.5504912,1.94
Method 4,0,2.549333334,0.78600687,1.48
Method 4,0,2.212619543,0.781907849,1.73
Method 4,0,2.260130882,0.744642033,1.89
Method 4,0,1.990039587,0.712206642,1.81
Method 4,0,2.460974216,0.796504629,1.84
Method 4,0,2.698667049,0.860184925,1.88
Method 4,0,1.47667551,0.613107819,2.62
Method 4,0,2.220260143,0.668075914,1.86
Method 4,0,2.333999157,0.868090488,1.78
Method 4,0,2.432795525,0.831500809,1.71
Method 4,0,1.989187241,0.755324899,1.72
Method 4,0,1.990077496,0.839878563,1.83
Method 4,0,2.51252389,0.734542483,3.11
Method 4,0,1.961674571,0.797732989,1.68
Method 4,0,2.183692455,0.80277301,1.8
Method 4,0,1.875563622,0.742650341,2.39
Method 4,0,2.353520632,0.78271496,1.89
Method 4,0,2.288376093,0.743754595,2.67
Method 4,0,2.40757966,0.783064817,1.52
Method 4,0,2.108901024,0.727640666,2.54
Method 4,0,2.455835819,0.832036894,1.5
Method 4,0,2.184390068,0.7721994,2.01
Method 4,0,2.35333395,0.847142248,2.23
Method 4,0,2.071279049,0.799907159,2.75
Method 4,0,2.927672148,0.839117766,1.45
Method 4,0,2.420580387,0.882583753,1.69
Method 4,0,1.851831555,0.768969759,1.62
Method 4,0,2.796901464,0.822936822,1.57
Method 4,0,2.584065437,0.851412067,1.85
Method 4,0,1.932235241,0.776871059,1.84
Method 4,0,2.570167303,0.883769914,3.4
Method 4,0,1.96021235,0.70510904,1.52
Method 4,0,1.954392076,0.740076754,1.72
Method 4,0,2.193242311,0.796969353,2.01
Method 4,0,2.546375751,0.795247113,1.44
Method 4,0,1.924024463,0.661120414,2.16
Method 4,0,2.308970928,0.707040214,2.17
Method 4,0,1.799542308,0.750670384,2.33
Method 4,0,2.288096666,0.796047263,1.83
Method 4,0,2.900816441,0.867850368,1.68
Method 4,0,2.5402596,0.795649802,1.49
Method 4,0,2.116115093,0.807032535,2.24
Method 4,0,2.104671478,0.774906596,1.8
Method 4,0,2.717201948,0.903603718,2.64
Method 4,0,2.433405876,0.834473723,1.82
Method 4,0,2.214325428,0.730085331,2.57
Method 4,0,2.260080099,0.766494074,1.82
Method 4,0,2.260898352,0.811398949,2.43
Method 4,0,2.0970397,0.690741761,2.77
Method 4,0,2.823141098,0.829151341,1.77
Method 4,0,2.21649003,0.728461498,2.9
Method 4,0,2.39206028,0.811638494,1.58
Method 4,0,1.797024608,0.649718116,1.5
Method 4,0,1.039412618,0.563631578,1.73
Method 4,0,2.74058485,0.873859071,2.63
Method 4,0,3.078317642,0.829615285,2.49
Method 4,0,2.388888836,0.892412711,1.69
Method 4,0,1.713639259,0.705472468,1.54
Method 4,0,2.127941847,0.743618123,2.59
Method 4,0,1.837630033,0.756269038,1.51
Method 4,0,1.925306082,0.677340282,1.52
Method 4,0,2.235080957,0.749898601,1.55
Method 4,0,1.614970088,0.643778372,3.1
Method 4,0,1.895328522,0.656098231,1.71
Method 4,0,2.160212278,0.677851127,1.53
Method 4,0,1.946928501,0.684094562,2.12
Method 4,0,2.088153362,0.709781884,1.74
Method 4,0,1.401836872,0.636483177,1.7
Method 4,0,2.188143015,0.829081707,2.76
Method 4,0,2.361929178,0.753893457,1.64
Method 4,0,2.907764912,0.897503833,1.83
Method 4,0,1.7720474,0.59884743,1.79
Method 4,0,2.477033854,0.814704117,1.48
Method 4,0,2.100179672,0.724100427,1.91
Method 4,0,1.585568786,0.678045348,1.57
Method 4,0,2.799251556,0.885910613,2.74
Method 4,0,2.005099297,0.741257791,1.67
Method 4,0,2.708696365,0.808120326,1.55
Method 4,0,2.341477394,0.73131717,1.45
Method 4,0,1.446913242,0.60841972,1.57
Method 4,0,2.639102459,0.852023323,2.3
Method 4,0,2.976483107,0.867360185,1.79
Method 4,0,2.952199459,0.841543845,3.38
Method 4,0,2.268703222,0.805370079,2.01
Method 4,0,2.552488089,0.82982569,2.08
Method 4,0,1.930482268,0.693530586,1.5
Method 4,0,2.535517931,0.832160892,2.01
Method 4,0,2.231240511,0.771663549,1.67
Method 4,0,2.668701172,0.833269,1.53
Method 4,0,2.311624765,0.814788586,1.87
Method 4,0,2.727725506,0.832107415,3.08
Method 4,0,2.316659451,0.788463685,1.5
Method 4,0,2.748701811,0.837105821,1.6
Method 4,0,2.130358219,0.745224746,1.48
Method 4,0,1.76519084,0.601571746,1.53
Method 4,0,2.454459667,0.836764557,2.79
Method 4,0,2.945337534,0.878608172,1.81
Method 4,0,2.407031298,0.828494885,1.78
Method 4,0,2.880253077,0.855729283,1.8
Method 4,0,2.893464804,0.876317138,1.78
Method 4,0,2.857947588,0.862687465,2.24
Method 4,0,2.836235523,0.842704561,1.97
Method 4,0,3.038957357,0.874846493,1.82
Method 4,0,2.742245197,0.852895688,2.97
Method 4,0,3.317703485,0.908581711,1.67
Method 4,0,1.956240416,0.682769619,1.53
Method 4,0,2.128259897,0.785721833,2.61
Method 4,0,2.876821995,0.865227,1.83
Method 4,0,2.692390919,0.837737022,2.82
Method 4,0,2.806323528,0.865660866,2.09
Method 4,0,2.640124559,0.820238324,1.77
Method 4,0,1.87143755,0.705521762,2.28
Method 4,0,3.035822392,0.883549219,2.94
Method 4,0,2.564634323,0.811520704,1.87
Method 4,0,2.703549862,0.855114283,3.14
Method 4,0,2.181728601,0.789292035,1.67
Method 4,0,3.124062538,0.892903619,1.85
Method 4,0,2.807824373,0.844940744,2.8
Method 4,0,2.287767172,0.810198013,1.8
Method 4,0,2.95776701,0.88330904,1.82
Method 4,0,2.393779278,0.820127575,1.84
Method 4,0,1.608714581,0.589344189,1.65
Method 4,0,2.560525894,0.833817345,1.81
Method 4,0,1.743903995,0.64841675,1.66
Method 4,0,2.561345816,0.843123358,1.77
Method 4,0,1.924691558,0.731992473,2.51
Method 4,0,3.277437687,0.904789439,1.79
Method 4,0,2.512785912,0.831967868,2.46
Method 4,0,2.81340456,0.881712957,2.66
Method 4,0,2.43551755,0.804043236,1.9
Method 4,0,2.044620514,0.750728894,2.11
Method 4,0,2.675470591,0.858029927,1.56
Method 4,0,3.216262341,0.900112048,1.81
Method 5,9.15969193,2.705217838,0.933347102,6.07
Method 5,9.349865317,3.088181019,0.961045247,7.87
Method 5,7.339788675,3.286303043,0.986871256,5.1
Method 5,6.263333559,3.277709961,0.97845191,4.81
Method 5,3.343278468,2.196635485,0.884251993,6.07
Method 5,7.603270039,2.260632277,0.890479225,4.45
Method 5,8.674745858,2.579218149,0.945236467,5.26
Method 5,3.381202817,2.43149209,0.92008979,5.6
Method 5,9.149306417,2.944367409,0.970283334,4.59
Method 5,8.25042963,3.306050301,0.971107475,4.37
Method 5,9.765763879,2.40962863,0.922932528,6.79
Method 5,6.566685438,3.431870222,0.975451766,5.99
Method 5,9.671893716,2.685683012,0.952031582,5.83
Method 5,8.308830261,3.126741409,0.980702376,4.35
Method 5,5.916310549,3.413053036,0.986324505,4.54
Method 5,10.48497677,2.896424294,0.948566372,7.82
Method 5,12.09199309,3.353888512,0.980989941,6.5
Method 5,11.38453841,2.973686695,0.978954983,5.15
Method 5,7.765936852,3.264777184,0.991291666,6.91
Method 5,16.88071314,2.521147251,0.930551075,6.45
Method 5,13.51271123,2.728525639,0.96242702,5.38
Method 5,12.06118253,2.455405951,0.904590688,6.06
Method 5,11.23104811,3.523547649,0.985370668,6.49
Method 5,10.35578489,3.072242022,0.985171869,7.83
Method 5,6.356421709,3.436105251,0.991129704,5.59
Method 5,10.85680034,2.177311182,0.90433097,5.94
Method 5,14.9725312,3.014077187,0.959843997,6.57
Method 5,5.462207794,3.500231504,0.982489983,7.42
Method 5,14.26556394,2.591819763,0.946726679,6.27
Method 5,10.12443066,3.69803381,0.989613881,5.03
Method 5,7.140803337,3.478725195,0.978212775,5.87
Method 5,8.944218159,2.916330814,0.947820149,4.68
Method 5,8.98245573,3.108259678,0.961526289,6.01
Method 5,3.577678204,2.716050386,0.943491942,6.08
Method 5,13.55491757,3.18964839,0.973181399,6.51
Method 5,7.880476117,3.243005276,0.968552615,5.93
Method 5,3.279821355,1.950380206,0.839897112,4.59
Method 5,12.49600828,2.829603434,0.97247948,6.55
Method 5,4.720298648,2.964269161,0.964894548,5.9
Method 5,7.409857512,2.463791609,0.910360709,4.69
Method 5,11.31325915,2.70272851,0.931633983,7.65
Method 5,10.18942982,2.42304945,0.9274076,4.66
Method 5,9.230947495,3.187233925,0.98875367,6.05
Method 5,16.22610241,2.785257339,0.946884132,5.09
Method 5,5.271501541,3.535853624,0.992695618,4.59
Method 5,4.923484325,3.310459614,0.987124668,5.5
Method 5,11.85063362,3.120349884,0.987129362,5.71
Method 5,11.15018785,3.282153606,0.968978174,6.78
Method 5,6.790636778,3.470810413,0.988279107,5.85
Method 5,9.576779965,2.013664722,0.884543789,5.77
Method 5,6.491091251,3.353434563,0.969259796,4.73
Method 5,11.3087181,2.283140659,0.780955556,5.03
Method 5,18.48933982,2.901429415,0.961876049,5.01
Method 5,8.999931812,3.142743111,0.970322831,4.41
Method 5,11.37036264,2.646137953,0.94773656,4.86
Method 5,10.61822166,2.489515305,0.944273122,6.04
Method 5,6.766843796,3.478167534,0.987403724,5.97
Method 5,8.203188181,3.377627611,0.97872815,6.92
Method 5,13.97070289,3.405789137,0.979906852,6.05
Method 5,11.99051499,2.553412676,0.894309599,4.45
Method 5,14.43029931,2.676939964,0.936240546,6.02
Method 5,13.06080997,3.2865448,0.976353196,4.75
Method 5,6.248369217,3.459966183,0.977102771,7.58
Method 5,6.347010136,3.336934805,0.955156284,5.9
Method 5,6.343960762,3.070967674,0.952127927,6.73
Method 5,6.240108013,3.171817303,0.969611892,5.46
Method 5,8.766964078,2.858725548,0.955427383,5.77
Method 5,13.14727497,2.342272043,0.873156403,6.04
Method 5,8.473662138,3.754171133,0.99078526,6.28
Method 5,8.239113092,3.344153166,0.974419644,6.58
Method 5,13.98273634,2.626428366,0.926995021,5.36
Method 5,9.335256815,2.918419123,0.951044199,5.44
Method 5,13.50137472,3.567487001,0.986321481,5.46
Method 5,7.742275596,3.075019598,0.967258692,5.17
Method 5,11.39692485,2.906935215,0.949088528,6.99
Method 5,13.70393362,2.655333996,0.943212341,7.03
Method 5,7.848069668,3.025044203,0.953456526,8.45
Method 5,9.441037774,3.347433805,0.965545951,6.27
Method 5,12.18704879,3.472069263,0.983503209,6.26
Method 5,6.752387285,3.256494999,0.976902072,4.59
Method 5,9.310389757,3.183202505,0.971281986,6.61
Method 5,8.671085835,3.173735619,0.974319047,5.61
Method 5,13.70883127,2.983679771,0.949277519,7.31
Method 5,7.566525936,3.187484264,0.957729129,4.9
Method 5,12.26086684,2.477634907,0.92441125,5.45
Method 5,10.01968294,2.750658512,0.962651702,4.56
Method 5,9.036815166,3.19950819,0.972220699,6.95
Method 5,9.543756247,3.279031277,0.977052652,5.01
Method 5,11.9627136,2.762639523,0.93997703,5.35
