Method,0,SNR,PESQ,STOI,Runtime
logmnse,,-26.39803818954977,0.3097533881664276,0.24719396784168896,2.37
logmnse,,-27.34638558009198,0.16213250160217285,0.12753648755967995,2.65
logmnse,,-26.13509119565051,0.43552157282829285,0.17837998796669274,2.26
logmnse,,-24.884973604615823,-0.18154658377170563,0.25293489214850406,3.05
logmnse,,-27.105682181336228,0.6339944005012512,0.13480867515920497,2.47
logmnse,,-26.781339642146683,0.03458327427506447,0.2096019432685821,2.51
logmnse,,-26.740740267230542,-0.06555527448654175,0.15055228863957673,2.33
logmnse,,-26.06267045903732,0.1491919755935669,0.11781736149122599,2.42
logmnse,,-27.43986543883203,0.3732013702392578,0.1424587364567704,2.68
logmnse,,-26.773546865095096,0.9195237755775452,0.12019955862833749,2.53
logmnse,,-26.000408993495707,0.03553244471549988,0.13099519578619503,2.88
logmnse,,-27.113444806020812,0.2351393699645996,0.16354969599819058,2.71
logmnse,,-27.356285669353237,0.1501138061285019,0.16964058024709933,2.49
logmnse,,-27.004434698709183,0.5639408826828003,0.2098230748347101,2.77
logmnse,,-27.382057680502015,0.1930738240480423,0.22364249080163195,3.67
logmnse,,-26.56252154340045,0.34527313709259033,0.19496375106197938,3.05
logmnse,,-27.381449903097412,0.4058833420276642,0.17662755298262642,2.28
logmnse,,-26.714593446936217,0.13401256501674652,0.1079926650651519,3.23
logmnse,,-26.928907683739233,0.4291657507419586,0.18555135384641508,2.54
logmnse,,-26.239694492826864,0.14240719377994537,0.1040478821283988,2.59
logmnse,,-26.71042249594809,0.5598282217979431,0.1487415363419291,2.35
logmnse,,-27.191155866726596,0.30842286348342896,0.16839841943422518,2.98
logmnse,,-27.3721700693011,0.37547624111175537,0.18566797634386534,2.47
logmnse,,-27.071382638236066,0.3005542457103729,0.1863576426052953,2.49
logmnse,,-26.56230407644347,0.016047721728682518,0.16320321087760464,2.93
logmnse,,-26.431104790794045,0.07503540813922882,0.207562883377034,3.38
logmnse,,-27.18398763688388,0.3609018623828888,0.12770004514089509,2.76
logmnse,,-25.213966293956503,0.0732535794377327,0.0911033379344784,2.64
logmnse,,-25.089300793933276,0.0913667231798172,0.20182132882225787,3.13
logmnse,,-25.222512713739672,0.3739001154899597,0.17686273577822564,2.42
logmnse,,-27.310171626366294,0.3153086304664612,0.24081379084803578,2.62
logmnse,,-26.145042628510765,0.02971377968788147,0.22089783528929735,2.25
logmnse,,-25.734377618748137,0.2808680832386017,0.19614861472817705,2.93
logmnse,,-27.152130275627627,0.28879740834236145,0.14602475092898087,2.76
logmnse,,-25.783222631207284,0.9413766264915466,0.2582425504181037,2.91
logmnse,,-27.202195989426457,-0.18221917748451233,0.14910243468062553,2.81
