Method,0,SNR,PESQ,STOI,Runtime
logmnse,,-26.429383962684447,0.34897780418395996,0.24497844586978218,2.17
logmnse,,-26.142255406724008,-0.012597525492310524,0.18933956003255134,2.17
logmnse,,-27.494139764429057,0.2392171025276184,0.14142318777023724,2.43
logmnse,,-25.707714612546447,1.3064513206481934,0.15398717941593543,2.04
logmnse,,-25.533191937562933,0.048605792224407196,0.22766320559077136,2.83
logmnse,,-27.16730414627328,0.589737057685852,0.17347084586565117,2.52
logmnse,,-26.001330415345233,0.20089654624462128,0.1886216273199902,2.16
logmnse,,-24.77209568367028,0.22607356309890747,0.15681444360235183,2.5
logmnse,,-24.820332897981707,0.2613483965396881,0.1393194062497384,2.18
logmnse,,-28.2144885557461,0.17735254764556885,0.21072416222510004,2.08
logmnse,,-27.588079041456147,0.29033198952674866,0.2748302373217633,2.44
logmnse,,-25.952899695981763,0.25961607694625854,0.2027624700587199,2.17
logmnse,,-26.12709645008319,0.3634781539440155,0.21382781844139576,2.53
logmnse,,-27.98514650350831,0.3806895911693573,0.25146631290392385,2.18
logmnse,,-25.732683679137793,0.13017365336418152,0.2110675219574726,2.58
logmnse,,-22.201577274230814,0.36865130066871643,0.20549748074491805,2.05
logmnse,,-25.399950947837702,-0.23013781011104584,0.1987113456817053,2.04
logmnse,,-23.696412840696354,0.12184955924749374,0.16806910695260527,2.57
logmnse,,-26.284423658580774,0.18933351337909698,0.08887888038697296,2.4
logmnse,,-24.399707553337674,0.5759421586990356,0.1864524264101711,2.48
logmnse,,-28.113693975730015,0.4211357533931732,0.22062593467191532,2.27
logmnse,,-27.019771812729665,0.06758792698383331,0.12655033005056915,2.63
logmnse,,-26.808534758446577,0.12243355810642242,0.2646772190416988,2.49
logmnse,,-25.989337012368686,0.5041015148162842,0.21356145858139627,2.01
logmnse,,-27.233492090831184,0.6194407343864441,0.1896511979042223,3.2
logmnse,,-27.934505412932012,-0.30760806798934937,0.1584163951748607,2.41
logmnse,,-24.316051740047918,0.4195799231529236,0.20759536714878224,2.19
logmnse,,-26.539581267652835,0.5751144289970398,0.2174308685569981,2.9
logmnse,,-27.181233877019693,0.21556241810321808,0.14722428835303333,2.82
logmnse,,-26.66665921857043,0.15261554718017578,0.17778368747117043,2.55
logmnse,,-27.776522750273955,0.8219387531280518,0.12368803880783374,2.2
logmnse,,-28.188094118356453,0.043167028576135635,0.16591879170603346,2.17
logmnse,,-23.489206686380516,0.5545835494995117,0.23934594146265334,2.72
logmnse,,-28.236597862246974,0.1531865894794464,0.24099790053436285,2.49
logmnse,,-28.245301876385838,0.06997119635343552,0.14603967782831492,2.34
logmnse,,-25.409452238109203,0.10687895864248276,0.163746845316129,2.14
logmnse,,-23.02914398660876,0.38599783182144165,0.19908172329241158,2.01
logmnse,,-25.249109867378472,1.163001298904419,0.16408216692326072,2.16
logmnse,,-27.693149802278583,0.21473556756973267,0.19121504529627767,2.52
logmnse,,-28.054110457930086,0.47357410192489624,0.13501391092705717,2.49
logmnse,,-28.338672367695224,0.17524664103984833,0.18937675455516217,2.59
logmnse,,-26.85199274506318,0.4696944057941437,0.15999059708704666,2.16
logmnse,,-28.266959708429617,0.13290229439735413,0.12430163242879078,2.81
logmnse,,-28.348232141352796,-0.05040145292878151,0.16812627772750324,2.53
mmse,,0.3246209436125014,1.84587824344635,0.6894821239216695,0.48
mmse,,2.430739135319868,1.5966445207595825,0.6109938483447737,0.51
mmse,,2.0050396025180817,1.577548623085022,0.7661830081666087,0.5
mmse,,0.8006702783870878,1.7243272066116333,0.7044991879735625,0.48
mmse,,0.41334372492315197,1.7192714214324951,0.668607960905598,0.56
mmse,,2.0358583331108093,1.5064702033996582,0.6162816939399546,0.51
mmse,,1.1924267560243607,1.646450400352478,0.7043001659030786,0.5
mmse,,2.8513412664727866,1.614242672920227,0.6107660614820851,0.55
mmse,,1.60324853968973,1.881508708000183,0.6793466158851518,0.48
mmse,,4.0438055992126465,2.012085437774658,0.7380244372863642,0.45
mmse,,2.5324290819031603,1.5353946685791016,0.6443938579643628,0.51
mmse,,3.6709676403552294,1.370310664176941,0.6046245963236069,0.48
mmse,,0.33365461021787723,1.7320104837417603,0.707482582093892,0.52
mmse,,1.7318806911906393,1.413633108139038,0.6450324067423835,0.43
mmse,,0.23774044015027584,1.5505465269088745,0.7242785516906571,0.54
mmse,,2.563150335969624,1.8214406967163086,0.5873902351154082,0.48
mmse,,1.634419932961464,1.6814475059509277,0.680069256895768,0.48
mmse,,1.4011299839424396,1.6541200876235962,0.6377016590078629,0.57
mmse,,2.8520409762859344,1.6819249391555786,0.7697941536689432,0.5
mmse,,1.9350001598093058,1.8261877298355103,0.5412710173174933,0.53
mmse,,1.582834735745564,1.3769854307174683,0.6241071847064036,0.49
mmse,,1.5347216092050076,1.7639325857162476,0.7286807655413525,0.55
mmse,,4.402632284909487,1.3157694339752197,0.6040515623921053,0.51
mmse,,0.19369823046048396,1.8181524276733398,0.7615258954972123,0.44
mmse,,1.0851332545280457,1.8136757612228394,0.7345092633440382,0.59
mmse,,3.0838659864303963,1.7408024072647095,0.7341079468264838,0.52
mmse,,2.847294054733638,1.5983119010925293,0.5822989474217488,0.49
mmse,,2.1240103990498937,1.4760547876358032,0.6362065434233256,0.54
mmse,,0.2625060434904647,1.8133654594421387,0.6634550710030408,0.56
mmse,,2.2292500361800194,1.7356475591659546,0.7481976110295883,0.52
mmse,,5.096515882760286,2.220365047454834,0.757206836880607,0.48
mmse,,2.086992710828781,1.4378541707992554,0.7538057356543049,0.48
mmse,,0.9473120306535066,1.8341947793960571,0.679181176617129,0.53
mmse,,4.11538315936923,1.3548386096954346,0.6326239129042853,0.53
mmse,,1.936793178319931,1.5118588209152222,0.7909281168218694,0.54
mmse,,0.23386889831101598,1.5809534788131714,0.7631494180761301,0.45
mmse,,3.769105451250425,1.7215837240219116,0.503024344086398,0.47
mmse,,0.19973871227477957,1.9729405641555786,0.7406503953401921,0.46
mmse,,0.3234438645901605,1.6501097679138184,0.6627271537919112,0.55
mmse,,3.5685887187719345,2.4654414653778076,0.8222913373457394,0.55
mmse,,5.5231974464990685,2.56203556060791,0.8338071870702748,0.53
mmse,,0.7814868253109353,1.687561273574829,0.6597914034952412,0.45
mmse,,6.523177605122328,2.1892731189727783,0.8010489857445707,0.57
mmse,,5.612040440355486,2.466649055480957,0.8525687018884512,0.56
dtln,,0.7696967610186789,1.7051011323928833,0.6069391277798392,0.77
dtln,,3.9775848694392835,1.7740001678466797,0.6651020753458329,2.59
dtln,,1.0074737668037415,1.2985166311264038,0.6062595997733363,0.84
dtln,,1.4248725447225752,1.4697914123535156,0.6143542244520128,0.74
dtln,,2.563665774779338,1.5205669403076172,0.5996311870265819,2.49
dtln,,2.4153299629688263,1.825554609298706,0.6477305160264992,1.04
dtln,,0.7974312454462051,0.926730215549469,0.5473036204126621,0.77
dtln,,3.0615808556871116,1.6772645711898804,0.6390782611459679,1.16
dtln,,1.4191783697640403,1.8622536659240723,0.5762712755086654,0.79
dtln,,1.5806154906749725,1.8380093574523926,0.694974015178504,0.77
dtln,,2.5346860117775805,1.5017337799072266,0.6398353478850434,0.82
dtln,,1.7609108705073595,1.5098146200180054,0.5351935517620716,0.77
dtln,,1.6503009104741295,1.5838357210159302,0.5082567055675572,0.94
dtln,,2.1449232961138875,1.1249089241027832,0.5524923611548339,0.74
dtln,,2.4168427603743226,1.1627286672592163,0.5395181012587179,0.96
dtln,,1.3977814809700817,1.6235281229019165,0.5495831067996071,0.98
dtln,,1.798318699002266,1.4676775932312012,0.5808156483162036,0.76
dtln,,1.1040100684570575,1.5097521543502808,0.6016359335279609,0.94
dtln,,3.286510556936264,1.8754099607467651,0.775539519705255,0.88
dtln,,0.9730104739162471,1.5479785203933716,0.45970982808762784,0.91
dtln,,1.8400798889342695,1.2117584943771362,0.5548694158663862,0.81
dtln,,3.2948647998273373,1.738950252532959,0.6908839017996709,0.96
dtln,,5.154454279690981,1.3998180627822876,0.6222516134065674,1.1
