Method,0,SNR,PESQ,STOI,Runtime
logmnse,,-27.43289386763592,0.11213845014572144,0.13750982113615065,2.82
logmnse,,-24.47137294984624,-0.10083125531673431,0.2440066843010332,2.9
logmnse,,-26.268714385931517,0.3843792974948883,0.2455273582542187,2.51
logmnse,,-26.589246741745377,0.8541577458381653,0.14772999042024104,2.4
logmnse,,-26.42383258401988,-0.10537812113761902,0.1953548852704447,2.52
logmnse,,-25.950712899577134,0.2018461972475052,0.1832915588241636,2.38
logmnse,,-27.129697959938536,0.5718122720718384,0.15323685107982313,2.74
logmnse,,-25.514187190835358,0.1711444854736328,0.09200374517052165,2.64
logmnse,,-25.5584439514654,-0.1677098572254181,0.20360479464206574,2.29
logmnse,,-26.148729441405713,0.5126640796661377,0.19818914880675745,2.74
logmnse,,-27.146996198340517,0.5299573540687561,0.12215272554325277,2.52
logmnse,,-27.605878091805202,0.45530128479003906,0.22616234252911235,2.33
logmnse,,-26.246686986714074,0.044074200093746185,0.12710625637566028,3.15
logmnse,,-25.962749637350107,0.39366668462753296,0.19216632611729242,2.44
logmnse,,-25.98120989405963,0.06092856824398041,0.1579143717880487,2.4
logmnse,,-26.025008651593712,0.25410643219947815,0.2641157543778999,2.96
logmnse,,-25.284159089271352,0.3704302906990051,0.21722939811775568,3.05
logmnse,,-25.54468115670793,0.079848513007164,0.15363137939541535,2.92
logmnse,,-27.464177824795293,-0.22605670988559723,0.15581756359486662,2.84
logmnse,,-24.54996409025113,0.23336699604988098,0.1639483997138577,2.31
logmnse,,-27.416288209054112,0.2500531077384949,0.2641076367123442,2.64
logmnse,,-26.476907555670664,0.3605700731277466,0.20231350554054794,2.19
logmnse,,-27.704029426194097,0.1908922791481018,0.166899370861003,2.8
logmnse,,-27.77780240364524,0.11865127831697464,0.14511088243049342,2.63
logmnse,,-27.716856570137757,0.09509925544261932,0.23534488607984838,2.75
logmnse,,-25.05585028606202,0.17914779484272003,0.19235990359255772,2.5
logmnse,,-26.387199097786684,0.17392852902412415,0.15188696186098993,2.92
logmnse,,-26.581223102858242,0.10966756939888,0.17146005845736875,2.88
logmnse,,-27.699747240502276,0.2758229374885559,0.19659788262106723,2.27
logmnse,,-25.518465084210895,0.33215057849884033,0.18440604870094307,2.51
logmnse,,-25.658860659433294,0.269503653049469,0.20941671028956566,2.83
logmnse,,-26.811293067116367,0.3032321035861969,0.13252652706661155,3.19
logmnse,,-27.523461213682342,0.33556026220321655,0.1961851583416796,2.46
logmnse,,-24.822545901483387,0.21074026823043823,0.2141774315535397,2.93
logmnse,,-26.643345608047298,0.7363309264183044,0.19923152588091436,3.41
logmnse,,-26.927668275658494,0.33837947249412537,0.1939299540497859,3.17
logmnse,,-25.28603930874011,0.14153388142585754,0.12144357218232098,2.78
logmnse,,-27.334200172683424,0.20171183347702026,0.18937595816594427,2.78
logmnse,,-24.580904122898467,0.8540350794792175,0.1506958355870294,2.61
logmnse,,-27.78123386226642,-0.07411641627550125,0.16538306620216478,2.84
logmnse,,-27.78233496486108,0.2644278109073639,0.18555585604403685,2.77
logmnse,,-27.130278139843863,0.42187148332595825,0.14136325332301547,2.53
